CODGEO;DEP;LIBGEO;Zonage en vigueur depuis le 5 septembre 2025;Reclassement 5 septembre 2025
01209;01;Léaz;B1;Non
01210;01;Lélex;B2;Non
01211;01;Lent;C;Non
01212;01;Lescheroux;C;Non
01213;01;Leyment;C;Non
01214;01;Leyssard;C;Non
01215;01;Surjoux-Lhopital;C;Non
01216;01;Lhuis;C;Non
01219;01;Lompnas;C;Non
01224;01;Loyettes;B1;Reclassement
01225;01;Lurcy;C;Non
01227;01;Magnieu;C;Non
01228;01;Maillat;C;Non
01229;01;Malafretaz;C;Non
01230;01;Mantenay-Montlin;C;Non
01231;01;Manziat;C;Non
01232;01;Marboz;C;Non
01233;01;Marchamp;C;Non
01234;01;Marignieu;C;Non
01235;01;Marlieux;C;Non
01236;01;Marsonnas;C;Non
01237;01;Martignat;C;Non
01238;01;Massieux;B1;Non
01239;01;Massignieu-de-Rives;C;Non
01240;01;Matafelon-Granges;C;Non
01241;01;Meillonnas;C;Non
01242;01;Mérignat;C;Non
01243;01;Messimy-sur-Saône;C;Non
01244;01;Meximieux;B1;Non
01245;01;Bohas-Meyriat-Rignat;C;Non
01246;01;Mézériat;C;Non
01247;01;Mijoux;B2;Non
01248;01;Mionnay;B1;Non
01249;01;Miribel;B1;Non
01250;01;Misérieux;B1;Non
01252;01;Mogneneins;C;Non
01254;01;Montagnat;C;Non
01255;01;Montagnieu;C;Non
01257;01;Montanges;C;Non
01258;01;Montceaux;C;Non
01259;01;Montcet;C;Non
01260;01;Le Montellier;C;Non
01261;01;Monthieux;C;Non
01262;01;Montluel;B1;Non
01263;01;Montmerle-sur-Saône;C;Non
01264;01;Montracol;C;Non
01265;01;Montréal-la-Cluse;C;Non
01266;01;Montrevel-en-Bresse;C;Non
01267;01;Nurieux-Volognat;C;Non
01268;01;Murs-et-Gélignieux;C;Non
01269;01;Nantua;C;Non
01272;01;Neuville-les-Dames;C;Non
01273;01;Neuville-sur-Ain;C;Non
01274;01;Les Neyrolles;C;Non
01275;01;Neyron;B1;Non
01276;01;Niévroz;B2;Non
01277;01;Nivollet-Montgriffon;C;Non
01279;01;Oncieu;C;Non
01280;01;Ordonnaz;C;Non
01281;01;Ornex;Abis;Non
01282;01;Outriaz;C;Non
01283;01;Oyonnax;B2;Non
01284;01;Ozan;C;Non
01285;01;Parcieux;B2;Non
01286;01;Parves et Nattages;C;Non
01288;01;Péron;A;Non
01289;01;Péronnas;B2;Non
01290;01;Pérouges;B1;Reclassement
01291;01;Perrex;C;Non
01293;01;Peyriat;C;Non
01294;01;Peyrieu;C;Non
01295;01;Peyzieux-sur-Saône;C;Non
01296;01;Pirajoux;C;Non
01297;01;Pizay;B2;Non
01298;01;Plagne;C;Non
01299;01;Le Plantay;C;Non
01301;01;Polliat;C;Non
01302;01;Pollieu;C;Non
01303;01;Poncin;C;Non
01304;01;Pont-d'Ain;C;Non
01305;01;Pont-de-Vaux;C;Non
01306;01;Pont-de-Veyle;C;Non
01307;01;Port;C;Non
01308;01;Pougny;Abis;Reclassement
01309;01;Pouillat;C;Non
01310;01;Prémeyzel;C;Non
01311;01;Prémillieu;C;Non
01313;01;Prévessin-Moëns;Abis;Non
01314;01;Priay;C;Non
01317;01;Ramasse;C;Non
01318;01;Rancé;B2;Non
01319;01;Relevant;C;Non
01320;01;Replonges;C;Non
01321;01;Revonnas;C;Non
01322;01;Reyrieux;B1;Non
01323;01;Reyssouze;C;Non
01325;01;Rignieux-le-Franc;C;Non
01328;01;Romans;C;Non
01329;01;Rossillon;C;Non
01331;01;Saint-Alban;C;Non
01332;01;Saint-André-de-Bâgé;C;Non
01333;01;Saint-André-de-Corcy;B1;Non
01334;01;Saint-André-d'Huiriat;C;Non
01335;01;Saint-André-le-Bouchoux;C;Non
01336;01;Saint-André-sur-Vieux-Jonc;C;Non
01337;01;Saint-Bénigne;C;Non
01338;01;Groslée-Saint-Benoit;C;Non
01339;01;Saint-Bernard;B2;Non
01342;01;Sainte-Croix;B2;Non
01343;01;Saint-Cyr-sur-Menthon;C;Non
01344;01;Saint-Denis-lès-Bourg;B2;Non
01345;01;Saint-Denis-en-Bugey;C;Non
01346;01;Saint-Didier-d'Aussiat;C;Non
01347;01;Saint-Didier-de-Formans;B2;Non
01348;01;Saint-Didier-sur-Chalaronne;C;Non
01349;01;Saint-Éloi;C;Non
01350;01;Saint-Étienne-du-Bois;C;Non
01351;01;Saint-Étienne-sur-Chalaronne;C;Non
01352;01;Saint-Étienne-sur-Reyssouze;C;Non
01353;01;Sainte-Euphémie;B2;Non
01354;01;Saint-Genis-Pouilly;Abis;Non
01355;01;Saint-Genis-sur-Menthon;C;Non
01356;01;Saint-Georges-sur-Renon;C;Non
01357;01;Saint-Germain-de-Joux;C;Non
01358;01;Saint-Germain-les-Paroisses;C;Non
01359;01;Saint-Germain-sur-Renon;C;Non
01360;01;Saint-Jean-de-Gonville;A;Non
01361;01;Saint-Jean-de-Niost;C;Non
01362;01;Saint-Jean-de-Thurigneux;B2;Non
01363;01;Saint-Jean-le-Vieux;C;Non
01364;01;Saint-Jean-sur-Reyssouze;C;Non
01365;01;Saint-Jean-sur-Veyle;C;Non
01366;01;Sainte-Julie;C;Non
01367;01;Saint-Julien-sur-Reyssouze;C;Non
01368;01;Saint-Julien-sur-Veyle;C;Non
01369;01;Saint-Just;B2;Non
01370;01;Saint-Laurent-sur-Saône;B2;Non
01371;01;Saint-Marcel;C;Non
01372;01;Saint-Martin-de-Bavel;C;Non
01373;01;Saint-Martin-du-Frêne;C;Non
01374;01;Saint-Martin-du-Mont;C;Non
01375;01;Saint-Martin-le-Châtel;C;Non
01376;01;Saint-Maurice-de-Beynost;B1;Non
01378;01;Saint-Maurice-de-Gourdans;B1;Reclassement
01379;01;Saint-Maurice-de-Rémens;C;Non
01380;01;Saint-Nizier-le-Bouchoux;C;Non
01381;01;Saint-Nizier-le-Désert;C;Non
01382;01;Sainte-Olive;C;Non
01383;01;Saint-Paul-de-Varax;C;Non
01384;01;Saint-Rambert-en-Bugey;C;Non
01385;01;Saint-Rémy;C;Non
01386;01;Saint-Sorlin-en-Bugey;C;Non
01387;01;Saint-Sulpice;C;Non
01388;01;Saint-Trivier-de-Courtes;C;Non
01389;01;Saint-Trivier-sur-Moignans;C;Non
01390;01;Saint-Vulbas;B2;Reclassement
01391;01;Salavre;C;Non
01392;01;Samognat;C;Non
01393;01;Sandrans;C;Non
01396;01;Sault-Brénaz;C;Non
01397;01;Sauverny;Abis;Non
01398;01;Savigneux;C;Non
01399;01;Ségny;Abis;Non
01400;01;Seillonnaz;C;Non
01401;01;Sergy;A;Non
01402;01;Sermoyer;C;Non
01403;01;Serrières-de-Briord;C;Non
01404;01;Serrières-sur-Ain;C;Non
01405;01;Servas;C;Non
01406;01;Servignat;C;Non
01407;01;Seyssel;C;Non
01408;01;Simandre-sur-Suran;C;Non
01410;01;Sonthonnax-la-Montagne;C;Non
01411;01;Souclin;C;Non
01412;01;Sulignat;C;Non
01415;01;Talissieu;C;Non
01416;01;Tenay;C;Non
01418;01;Thil;B2;Non
01419;01;Thoiry;A;Non
01420;01;Thoissey;C;Non
01421;01;Torcieu;C;Non
01422;01;Tossiat;C;Non
01423;01;Toussieux;B2;Non
01424;01;Tramoyes;B1;Non
01425;01;La Tranclière;C;Non
01426;01;Val-Revermont;C;Non
01427;01;Trévoux;B1;Non
01428;01;Valeins;C;Non
01429;01;Vandeins;C;Non
01430;01;Varambon;C;Non
01431;01;Vaux-en-Bugey;C;Non
01432;01;Verjon;C;Non
01433;01;Vernoux;C;Non
01434;01;Versailleux;C;Non
01435;01;Versonnex;Abis;Non
01436;01;Vesancy;A;Non
01437;01;Vescours;C;Non
01439;01;Vésines;C;Non
01441;01;Vieu-d'Izenave;C;Non
01443;01;Villars-les-Dombes;B1;Non
01444;01;Villebois;C;Non
01445;01;Villemotier;C;Non
01446;01;Villeneuve;C;Non
01447;01;Villereversure;C;Non
01448;01;Villes;C;Non
01449;01;Villette-sur-Ain;C;Non
01450;01;Villieu-Loyes-Mollon;B2;Reclassement
01451;01;Viriat;B2;Non
01452;01;Virieu-le-Grand;C;Non
01453;01;Arvière-en-Valromey;C;Non
01454;01;Virignin;C;Non
01456;01;Vongnes;C;Non
01457;01;Vonnas;C;Non
02001;02;Abbécourt;C;Non
02002;02;Achery;C;Non
02003;02;Acy;C;Non
02004;02;Agnicourt-et-Séchelles;C;Non
02005;02;Aguilcourt;C;Non
02006;02;Aisonville-et-Bernoville;C;Non
02007;02;Aizelles;C;Non
02008;02;Aizy-Jouy;C;Non
02009;02;Alaincourt;C;Non
02010;02;Allemant;C;Non
02011;02;Ambleny;C;Non
02012;02;Ambrief;C;Non
02013;02;Amifontaine;C;Non
02014;02;Amigny-Rouy;C;Non
